,date,account_value
289,2020-05-20,83186.12094533269
290,2020-05-21,84080.23584431865
291,2020-05-22,84105.1767353291
292,2020-05-25,86360.97657930564
293,2020-05-26,87929.80985268003
294,2020-05-27,88311.12624725132
295,2020-05-28,89507.53340171282
296,2020-05-29,88788.10041931063
297,2020-06-01,89992.60396057263
298,2020-06-02,91974.0543111867
299,2020-06-03,94126.01542197594
300,2020-06-04,93917.36833339887
301,2020-06-05,95550.84681126021
302,2020-06-08,95393.86695278833
303,2020-06-09,94277.53558539195
304,2020-06-10,93842.46196008667
305,2020-06-11,90544.01265415963
306,2020-06-12,90715.68852487048
307,2020-06-15,91150.99088308909
308,2020-06-16,94560.30336471842
309,2020-06-17,94425.23686737579
310,2020-06-18,93445.45434023795
311,2020-06-19,93404.24521942044
312,2020-06-22,93640.10616629188
313,2020-06-23,94725.04573446892
314,2020-06-24,92515.9621403948
315,2020-06-25,93176.8049360325
316,2020-06-26,92206.45829718334
317,2020-06-29,92967.51563073257
318,2020-06-30,92643.22592572657
319,2020-07-01,92709.62967954982
320,2020-07-02,96222.08133026083
321,2020-07-03,95545.33785734932
322,2020-07-06,97023.85517637631
323,2020-07-07,96340.13811616504
324,2020-07-08,95465.02584570734
325,2020-07-09,94829.8701966638
326,2020-07-10,95775.58224585411
327,2020-07-13,96881.51991411993
328,2020-07-14,95762.3051919418
329,2020-07-15,97889.68421582626
330,2020-07-16,98142.07018718595
331,2020-07-17,98092.78180759444
332,2020-07-20,99282.03610430607
333,2020-07-21,95096.22468798024
334,2020-07-22,95142.38290089936
335,2020-07-23,96098.710051218
336,2020-07-24,93554.28714031936
337,2020-07-27,91861.75041591578
338,2020-07-28,92009.82152776809
339,2020-07-29,91933.4910001821
340,2020-07-30,90937.33923102925
341,2020-07-31,90450.74023116528
342,2020-08-03,91633.9641205716
343,2020-08-04,91695.3316629933
344,2020-08-05,92798.47486044286
345,2020-08-06,91855.63138415766
346,2020-08-07,91791.86588758953
347,2020-08-10,93267.26247469545
348,2020-08-11,95164.57994547434
349,2020-08-12,95729.55385410058
350,2020-08-13,95442.08149863561
351,2020-08-14,94230.9993968828
352,2020-08-17,94722.29210853996
353,2020-08-18,94003.79888373065
354,2020-08-19,94228.62188829215
355,2020-08-20,93176.33592252037
356,2020-08-21,92451.58379578113
357,2020-08-24,93799.7147123683
358,2020-08-25,93230.17083238452
359,2020-08-26,93470.25684157072
360,2020-08-27,92629.4051982073
361,2020-08-28,92969.55581620503
362,2020-08-31,92343.95854097242
363,2020-09-01,92082.20187161908
364,2020-09-02,92899.2944145513
365,2020-09-03,91935.16859562934
366,2020-09-04,90847.71989587283
367,2020-09-07,92939.67285764139
368,2020-09-08,91875.90170996492
369,2020-09-09,93304.77347494577
370,2020-09-10,92600.28292677036
371,2020-09-11,92916.8258218173
372,2020-09-14,92973.38764801068
373,2020-09-15,94641.92185851232
374,2020-09-16,94634.85679949302
375,2020-09-17,95025.46683280321
376,2020-09-18,93281.9603745832
377,2020-09-21,90832.22880532581
378,2020-09-22,90625.35512980013
379,2020-09-23,91205.66659909522
380,2020-09-24,90983.74970231086
381,2020-09-25,90973.99640640603
382,2020-09-28,92566.71563808084
383,2020-09-29,92033.09372012231
384,2020-09-30,92514.63632163714
